line_id,molecule,transition,E(K),Aij(s-1),isNull,per01_intensity,median_intensity,mean_log_intensity,per75_intensity,per90_intensity,per95_intensity,per99_intensity,freq
h2_v0_j22__v0_j20,h2,v0_j22__v0_j20,4255.20229625,4.451e-06,False,-8.8288999873708,-7.047804843517921,-6.832943953072465,-6.185511628254068,-5.316320967661176,-4.943177914171236,-4.62557049591389,88664.02953967015
h2_v0_j23__v0_j21,h2,v0_j23__v0_j21,4271.00075697,4.779e-06,False,-8.473289265756794,-6.652241707346549,-6.437148117877436,-5.766028427025909,-4.894072336095359,-4.51431235331248,-4.187224425411128,88993.21604842764
h2_v0_j24__v0_j22,h2,v0_j24__v0_j22,4274.59776391,5.056e-06,False,-9.046758729813394,-7.207119421615992,-7.003155559291725,-6.31309830333688,-5.475631969507835,-5.1305008104187255,-4.864540525147415,89068.1655120204
h2_v0_j24__v1_j22,h2,v0_j24__v1_j22,43.45886275,6.334e-17,False,-21.93793776319911,-20.09717211894842,-19.885916906328493,-19.205876954564275,-18.36540817624968,-18.021276558722544,-17.754660553802474,905.5357706547185
h2_v0_j25__v0_j23,h2,v0_j25__v0_j23,4266.60667772,5.274e-06,False,-8.689354855818154,-6.805833203723765,-6.621994387023156,-5.898710368293751,-5.053317317878819,-4.698842072361971,-4.412247737811848,88901.65829269771
h2_v0_j25__v1_j23,h2,v0_j25__v1_j23,170.26954754,6.223e-14,False,-18.01642898734743,-16.132406094805624,-15.938089819712047,-15.225411952429784,-14.377748260594805,-14.021918453209745,-13.734433594691124,3547.8417103922975
h2_v0_j26__v0_j24,h2,v0_j26__v0_j24,4247.56097527,5.424e-06,False,-9.28062383890738,-7.379845221092884,-7.194668545792697,-6.467187052031567,-5.619930608633529,-5.275410592266192,-5.0069723211074,88504.81024481081
h2_v0_j26__v1_j24,h2,v0_j26__v1_j24,289.76744166,9.404e-13,False,-17.20479459406118,-15.30650702699279,-15.11217581163808,-14.39306644775814,-13.544816857948948,-13.19954865884038,-12.929657811062745,6037.773816210463
h2_v0_j27__v0_j25,h2,v0_j27__v0_j25,4217.90024176,5.503e-06,False,-8.940323507922185,-6.986969534777681,-6.834598257957492,-6.060214097314673,-5.201070310205894,-4.845588136029239,-4.548833569933581,87886.78083774443
h2_v0_j27__v1_j25,h2,v0_j27__v1_j25,402.63775829,5.148e-12,False,-15.990123292288278,-14.035697371775818,-13.875627957715738,-13.107406639391218,-12.24897010772309,-11.892954769065131,-11.59526160066122,8389.60961415916
h2_v0_j28__v0_j26,h2,v0_j28__v0_j26,4177.95300893,5.506e-06,False,-9.565359690496424,-7.615175138854351,-7.439934110468674,-6.670743215274302,-5.804133596466148,-5.453115487899509,-5.165029571687667,87054.41556223482
h2_v0_j28__v1_j26,h2,v0_j28__v1_j26,509.57915741,1.764e-11,False,-15.973318877907374,-14.021741179184968,-13.841345284131908,-13.076694913535222,-12.212052611146346,-11.860962669489536,-11.57156247025371,10617.906816138358
h2_v0_j29__v0_j27,h2,v0_j29__v0_j27,4127.91367424,5.43e-06,False,-9.295733554231129,-7.227636486274523,-7.104997874225202,-6.251260809939166,-5.37755147571718,-5.017640561749817,-4.704367478070759,86011.76500411457
h2_v0_j29__v1_j27,h2,v0_j29__v1_j27,611.31502581,4.62e-11,False,-15.19387372052522,-13.12743096817712,-13.00084671347853,-12.150479521240634,-11.27603097436297,-10.916338230021804,-10.601522118910584,12737.738357170138
h2_v0_j30__v0_j28,h2,v0_j30__v0_j28,4067.80904499,5.275e-06,False,-9.990265748843893,-7.999816238987573,-7.799862408288172,-6.982889057215327,-6.062729011975094,-5.718200037730892,-5.401657021844677,84759.38773688352
h2_v0_j30__v1_j28,h2,v0_j30__v1_j28,708.61210065,1.018e-10,False,-15.46153368837054,-13.473568722430173,-13.271522020892483,-12.456470286210228,-11.53540708762612,-11.191193036010562,-10.874337025407604,14765.080447425116
h2_v1_j0__v0_j2,h2,v1_j0__v0_j2,5477.12573433,8.532e-07,False,-7.814719669206439,-5.824148183148905,-5.877302628460734,-5.250439605215779,-4.7255808775887465,-4.1490023890683085,-3.665111305154691,114124.78281681007
h2_v1_j1__v0_j3,h2,v1_j1__v0_j3,5133.874929,4.222e-07,False,-8.08153192429438,-5.870958955658757,-5.835447699275939,-5.056121720384217,-4.277562561184895,-3.627162600720658,-3.111715694207039,106972.59652237338
h2_v1_j1__v0_j1,h2,v1_j1__v0_j1,5978.48303293,4.294e-07,False,-8.013436748500691,-5.798566017578861,-5.768002991704435,-4.986017226561539,-4.2060889241681085,-3.555682026668862,-3.042928891927618,124571.37389243869
h2_v1_j2__v0_j4,h2,v1_j2__v0_j4,4789.74720067,2.895e-07,False,-8.000512077575161,-5.970805877413831,-6.110445104967372,-5.32388026619453,-4.798087986347468,-4.202709595223857,-3.684628495091919,99802.13811738524
h2_v1_j2__v0_j2,h2,v1_j2__v0_j2,5961.52205631,3.051e-07,False,-7.897216239099028,-5.857550973623868,-5.999005622164364,-5.209606894105307,-4.685930519869984,-4.086241158695598,-3.5701354734727864,124217.96448264807
h2_v1_j2__v0_j0,h2,v1_j2__v0_j0,6471.38592176,2.526e-07,False,-7.951339613531603,-5.906561624963221,-6.048784822595319,-5.25804304410906,-4.735037022629057,-4.133285836659497,-3.617237063943018,134841.80365177727
h2_v1_j2__v1_j0,h2,v1_j2__v1_j0,484.39632197,2.786e-11,False,-12.994611066745932,-10.98060330497696,-11.1147618359783,-10.332969737764772,-9.807646308801576,-9.212227636986796,-8.688743871591235,10093.181665629643
h2_v1_j3__v0_j5,h2,v1_j3__v0_j5,4447.54985482,2.082e-07,False,-8.331498432771879,-6.229796076565256,-6.2808077699356,-5.373607324634353,-4.631496564890628,-3.976189659710296,-3.4205696015290203,92671.90235689521
h2_v1_j3__v0_j3,h2,v1_j3__v0_j3,5936.21011223,2.824e-07,False,-8.097030749255131,-5.973447478985859,-6.032215548292776,-5.118252841483183,-4.37698666336094,-3.722266646122957,-3.1692265898529954,123690.54914458215
h2_v1_j3__v0_j1,h2,v1_j3__v0_j1,6780.81821616,3.47e-07,False,-7.962111931062251,-5.827831275184202,-5.890874348841708,-4.974795654404779,-4.232634397936098,-3.576016227102361,-3.0227109185784067,141289.32651464743
h2_v1_j3__v1_j1,h2,v1_j3__v1_j1,802.33518323,4.497e-10,False,-11.736896495761536,-9.639471987804598,-9.687868214654506,-8.782511342016202,-8.04008906212978,-7.386200211239629,-6.827985447169667,16717.95262220875
h2_v1_j4__v0_j6,h2,v1_j4__v0_j6,4109.84091876,1.497e-07,False,-8.470862524178031,-6.55886034946747,-6.650895421375311,-5.867105351545379,-5.34513588034443,-4.770636050790443,-4.198496970644214,85635.18988166879
h2_v1_j4__v0_j4,h2,v1_j4__v0_j4,5902.70013405,2.721e-07,False,-8.072161170761769,-6.146007272574825,-6.244379376552385,-5.456931633976664,-4.933137978386336,-4.358129525260063,-3.786888042075288,122992.31449241449
h2_v1_j4__v0_j2,h2,v1_j4__v0_j2,7074.47498825,3.981e-07,False,-7.848321847905203,-5.906990252152603,-6.007817540356349,-5.218179186642914,-4.69170600997361,-4.114443354639402,-3.5476275852766985,147408.14082767259
h2_v1_j4__v1_j2,h2,v1_j4__v1_j2,1112.95293194,2.592e-09,False,-10.798015446196237,-8.88761460336308,-8.979929799461733,-8.196630153154942,-7.675787799347541,-7.099454563383435,-6.527455614693452,23190.1763450245
h2_v1_j5__v0_j7,h2,v1_j5__v0_j7,3778.87738019,1.061e-07,False,-8.69913435064413,-6.854835738727294,-6.722610097874639,-5.995104113876463,-5.273386459324621,-4.691393602819114,-4.10182296915341,78739.02868477697
h2_v1_j5__v0_j5,h2,v1_j5__v0_j5,5861.19172616,2.652e-07,False,-8.117945041000144,-6.266380545188429,-6.148389462223486,-5.4126447529530415,-4.68901790384086,-4.106092723600321,-3.5217126353623662,122127.41960679484
h2_v1_j5__v0_j3,h2,v1_j5__v0_j3,7349.85198357,4.206e-07,False,-7.828118636056628,-5.969144653930346,-5.86163667204946,-5.119908557104515,-4.393796750335789,-3.808369790263261,-3.232961883000168,153146.06639448178
h2_v1_j5__v1_j3,h2,v1_j5__v1_j3,1413.64187133,9.21e-09,False,-10.200152179034696,-8.3450260103142,-8.232519771052784,-7.493074348366793,-6.767669561312893,-6.184085656745439,-5.605263655758581,29455.517249691256
h2_v1_j6__v0_j8,h2,v1_j6__v0_j8,3456.58333413,7.356e-08,False,-9.049805488837588,-7.38071151241608,-7.2765325256053055,-6.594626767485957,-6.025340026535969,-5.572816087376775,-5.015916620912456,72023.51040130855
